iter	Passed	Remaining
231	500	1655
232	501	1651
233	503	1647
234	504	1641
235	505	1636
236	507	1632
237	508	1628
238	509	1623
239	510	1617
240	512	1612
241	513	1607
242	514	1602
243	515	1597
244	516	1591
245	517	1586
246	518	1581
247	519	1575
248	521	1571
249	522	1566
250	523	1561
251	524	1557
252	526	1553
253	527	1548
254	528	1543
255	529	1538
256	530	1533
257	531	1528
258	532	1524
259	534	1521
260	535	1517
261	537	1513
262	538	1510
263	539	1505
264	541	1500
265	542	1496
266	543	1491
267	544	1487
268	545	1482
269	546	1477
270	547	1473
271	548	1468
272	550	1465
273	551	1461
274	552	1456
275	553	1452
276	554	1447
277	555	1443
278	557	1439
279	558	1435
280	559	1432
281	561	1429
282	562	1424
283	563	1420
284	564	1416
285	565	1411
286	566	1406
287	567	1402
288	568	1398
289	569	1394
290	571	1391
291	572	1387
292	573	1383
293	574	1379
294	575	1375
295	576	1371
296	577	1367
297	578	1363
298	580	1359
299	581	1356
300	582	1352
301	583	1349
302	584	1344
303	585	1340
304	586	1336
305	587	1332
306	588	1328
307	589	1325
308	590	1321
309	592	1318
310	593	1315
311	595	1312
312	596	1308
313	597	1305
314	599	1302
315	600	1299
316	601	1295
317	602	1291
318	603	1288
319	605	1287
320	606	1283
321	607	1279
322	608	1275
323	609	1272
324	610	1268
325	611	1265
326	612	1261
327	614	1258
328	615	1255
329	616	1252
330	618	1249
331	619	1246
332	620	1242
333	621	1238
334	622	1235
335	623	1231
336	624	1228
337	625	1224
338	626	1222
339	628	1219
340	629	1215
341	630	1212
342	631	1209
343	632	1206
344	633	1202
345	634	1199
346	635	1195
347	636	1192
348	637	1189
349	638	1185
350	639	1182
351	640	1179
352	641	1176
353	642	1173
354	643	1169
355	644	1166
356	645	1163
357	647	1160
358	648	1157
359	649	1155
360	650	1152
361	652	1149
362	653	1146
363	654	1143
364	655	1139
365	656	1136
366	657	1133
367	658	1130
368	659	1127
369	660	1125
370	661	1122
371	663	1119
372	664	1116
373	665	1113
374	666	1110
375	667	1107
376	668	1104
377	670	1102
378	671	1099
379	672	1096
380	673	1093
381	674	1091
382	675	1088
383	676	1085
384	677	1082
385	678	1080
386	680	1077
387	681	1074
388	682	1071
389	683	1068
390	684	1065
391	685	1063
392	686	1060
393	688	1058
394	689	1055
395	690	1053
396	691	1050
397	692	1048
398	693	1045
399	694	1042
400	696	1039
401	697	1037
402	698	1034
403	699	1032
404	700	1029
405	701	1026
406	703	1024
407	704	1021
408	705	1019
409	706	1016
410	707	1013
411	708	1011
412	709	1008
413	710	1005
414	711	1003
415	713	1001
416	714	998
417	715	996
418	716	993
419	717	990
420	718	988
421	719	985
422	720	983
423	721	980
424	723	978
425	724	976
426	725	974
427	727	971
428	728	969
429	729	966
430	730	963
431	731	961
432	732	958
433	733	956
434	734	954
435	735	952
436	737	949
437	738	947
438	739	944
439	740	942
440	741	939
441	742	937
442	743	934
443	744	932
444	745	929
445	747	928
446	748	925
447	749	923
448	750	921
449	751	918
450	752	916
451	753	913
452	754	911
453	755	908
454	756	906
455	758	904
456	759	902
457	760	899
458	761	897
459	762	895
460	763	892
461	764	890
462	765	888
463	766	885
464	767	883
465	769	881
466	770	879
467	771	877
468	772	874
469	773	872
470	774	870
471	776	868
472	777	865
473	777	863
474	779	861
475	781	859
476	782	858
477	783	855
478	784	853
479	785	851
480	786	848
481	787	846
482	788	844
483	789	842
484	791	839
485	792	838
486	794	836
487	795	834
488	796	832
489	797	830
490	798	828
491	799	825
492	801	823
493	802	821
494	803	819
495	804	817
496	806	816
497	807	813
498	808	811
499	809	809
500	810	807
501	811	805
502	812	802
503	813	800
504	815	799
505	816	797
506	817	795
507	819	793
508	820	791
509	821	788
510	822	786
511	823	784
512	824	782
513	825	780
514	826	778
515	828	776
516	829	775
517	830	773
518	831	770
519	832	768
520	833	766
521	834	764
522	836	762
523	837	760
524	838	759
525	840	757
526	841	755
527	842	753
528	843	751
529	844	748
530	845	746
531	846	744
532	847	742
533	849	741
534	851	740
535	853	738
536	854	736
537	856	735
538	857	733
539	858	731
540	859	729
541	860	727
542	862	725
543	863	724
544	865	722
545	866	720
546	868	718
547	869	717
548	871	715
549	872	714
550	873	712
551	875	710
552	878	710
553	880	708
554	881	707
555	884	706
556	886	705
557	888	703
558	891	703
559	893	701
560	894	700
561	896	699
562	898	697
563	900	696
564	902	694
565	905	694
566	907	693
567	909	691
568	910	689
569	912	688
570	913	686
571	915	685
572	918	684
573	920	683
574	923	682
575	924	680
576	926	678
577	927	677
578	930	676
579	932	675
580	934	673
581	935	671
582	936	670
583	938	668
584	939	666
585	941	665
586	943	664
587	945	662
588	946	660
589	948	659
590	949	657
591	950	655
592	951	653
593	953	651
594	954	649
595	955	647
596	957	646
597	958	644
598	959	642
599	960	640
600	961	638
601	962	636
602	963	634
603	965	632
604	966	631
605	967	629
606	969	627
607	970	625
608	971	623
609	972	621
610	973	619
611	974	617
612	975	615
613	976	613
614	977	611
615	978	610
616	979	608
617	981	606
618	982	604
619	983	602
620	984	600
621	985	599
622	986	597
623	988	595
624	989	593
625	990	591
626	991	589
627	992	587
628	993	585
629	994	584
630	995	582
631	996	580
632	997	578
633	998	576
634	1000	575
635	1001	573
636	1002	571
637	1003	569
638	1004	567
639	1006	565
640	1007	564
641	1008	562
642	1009	560
643	1011	559
644	1012	557
645	1014	555
646	1015	553
647	1016	552
648	1017	550
649	1018	548
650	1019	546
651	1020	544
652	1022	543
653	1023	541
654	1024	539
655	1026	538
656	1027	536
657	1028	534
658	1029	532
659	1030	530
660	1031	528
661	1032	527
662	1033	525
663	1035	523
664	1036	522
665	1037	520
666	1038	518
667	1039	516
668	1040	514
669	1041	513
670	1042	511
671	1043	509
672	1045	507
673	1046	506
674	1047	504
675	1049	502
676	1050	501
677	1051	499
678	1052	497
679	1053	495
680	1054	494
681	1055	492
682	1056	490
683	1058	488
684	1059	487
685	1060	485
686	1061	483
687	1062	481
688	1063	480
689	1065	478
690	1066	476
691	1067	475
692	1068	473
693	1069	471
694	1071	470
695	1072	468
696	1073	466
697	1074	465
698	1076	463
699	1077	461
700	1078	459
701	1079	458
702	1080	456
703	1081	454
704	1082	453
705	1083	451
706	1084	449
707	1086	447
708	1087	446
709	1088	444
710	1089	442
711	1090	441
712	1091	439
713	1092	437
714	1094	436
715	1095	434
716	1096	432
717	1097	431
718	1098	429
719	1099	427
720	1100	426
721	1102	424
722	1103	422
723	1104	421
724	1106	419
725	1107	417
726	1108	416
727	1109	414
728	1111	413
729	1112	411
730	1113	409
731	1114	408
732	1115	406
733	1117	404
734	1118	403
735	1119	401
736	1120	399
737	1121	398
738	1123	396
739	1124	394
740	1125	393
741	1126	391
742	1127	390
743	1129	388
744	1130	386
745	1131	385
746	1132	383
747	1133	381
748	1134	380
749	1135	378
750	1136	376
751	1138	375
752	1139	373
753	1140	372
754	1142	370
755	1143	368
756	1144	367
757	1145	365
758	1146	364
759	1147	362
760	1148	360
761	1150	359
762	1151	357
763	1152	356
764	1154	354
765	1154	352
766	1156	351
767	1157	349
768	1158	347
769	1159	346
770	1160	344
771	1162	343
772	1163	341
773	1164	340
774	1165	338
775	1166	336
776	1167	335
777	1168	333
778	1169	331
779	1170	330
780	1173	328
781	1174	327
782	1175	325
783	1176	324
784	1177	322
785	1178	320
786	1179	319
787	1180	317
788	1181	316
789	1183	314
790	1184	312
791	1185	311
792	1186	309
793	1187	308
794	1189	306
795	1190	305
796	1191	303
797	1192	301
798	1193	300
799	1194	298
800	1196	297
801	1197	295
802	1198	294
803	1199	292
804	1200	290
805	1201	289
806	1203	287
807	1204	286
808	1205	284
809	1206	283
810	1207	281
811	1209	279
812	1210	278
813	1211	276
814	1212	275
815	1213	273
816	1215	272
817	1216	270
818	1217	268
819	1218	267
820	1219	265
821	1221	264
822	1222	262
823	1223	261
824	1224	259
825	1225	258
826	1226	256
827	1227	255
828	1228	253
829	1229	251
830	1230	250
831	1232	248
832	1233	247
833	1234	245
834	1235	244
835	1236	242
836	1237	241
837	1238	239
838	1239	237
839	1240	236
840	1241	234
841	1243	233
842	1244	231
843	1245	230
844	1247	228
845	1248	227
846	1249	225
847	1250	224
848	1251	222
849	1252	221
850	1253	219
851	1255	218
852	1256	216
853	1257	214
854	1258	213
855	1260	211
856	1261	210
857	1262	208
858	1263	207
859	1264	205
860	1265	204
861	1266	202
862	1267	201
863	1269	199
864	1270	198
865	1272	196
866	1273	195
867	1274	193
868	1275	192
869	1276	190
870	1277	189
871	1278	187
872	1279	186
873	1281	184
874	1282	183
875	1297	183
876	1298	182
877	1299	180
878	1300	179
879	1301	177
880	1302	175
881	1303	174
882	1304	172
883	1305	171
884	1307	169
885	1308	168
886	1310	166
887	1311	165
888	1312	163
889	1313	162
890	1314	160
891	1315	159
892	1317	157
893	1318	156
894	1320	154
895	1321	153
896	1322	151
897	1323	150
898	1324	148
899	1325	147
900	1326	145
901	1327	144
902	1329	142
903	1330	141
904	1331	139
905	1332	138
906	1333	136
907	1334	135
908	1336	133
909	1337	132
910	1338	130
911	1339	129
912	1340	127
913	1341	126
914	1342	124
915	1343	123
916	1345	121
917	1346	120
918	1347	118
919	1348	117
920	1349	115
921	1350	114
922	1352	112
923	1353	111
924	1355	109
925	1356	108
926	1357	106
927	1358	105
928	1359	103
929	1360	102
930	1362	100
931	1363	99
932	1364	97
933	1365	96
934	1366	94
935	1367	93
936	1368	92
937	1369	90
938	1370	89
939	1372	87
940	1373	86
941	1374	84
942	1375	83
943	1376	81
944	1377	80
945	1378	78
946	1379	77
947	1380	75
948	1382	74
949	1383	72
950	1384	71
951	1386	69
952	1387	68
953	1388	66
954	1389	65
955	1390	64
956	1391	62
957	1392	61
958	1393	59
959	1395	58
960	1396	56
961	1397	55
962	1398	53
963	1400	52
964	1401	50
965	1402	49
966	1403	47
967	1404	46
968	1406	44
969	1407	43
970	1408	42
971	1409	40
972	1410	39
973	1411	37
974	1413	36
975	1414	34
976	1415	33
977	1416	31
978	1418	30
979	1419	28
980	1420	27
981	1421	26
982	1423	24
983	1424	23
984	1425	21
985	1427	20
986	1428	18
987	1429	17
988	1430	15
989	1431	14
990	1432	13
991	1433	11
992	1435	10
993	1436	8
994	1437	7
995	1438	5
996	1440	4
997	1441	2
998	1442	1
999	1443	0
